Player,Score
Tabri,91240.90755288534
timesink,90788.0594698051
SkyeZoomer,90372.14927207725
Hyllina,90326.50573979426
ColetteMSLP,89723.47540238845
expression_sfinae,89630.63390943098
patrick_star_,89266.73893191759
partofthecreed,89176.09430314437
OlallaZ2,88966.287780987
JayRod91,88948.11548826874
Urruboros,88640.69734157188
Jura3,88632.06246033491
Schmolu,88507.74248685208
lethal_vessel,88475.97588962049
Staxis,88327.89111627637
RealSdf,88003.62743288593
MURMURMUR,87635.73609184194
LeCipotte,87529.20716108906
Jaq,87293.56576544877
RevloOW,87236.13601230113
Darkelf314,86918.28921916538
noahnee,86679.28774330688
dap0,86415.71340408768
Tobbib,85640.97882731745
NeonDelta,85299.34101862174
xxz11,84945.92955575536
Asgoriel,84785.8053132046
Riolu00,84785.8053132046
GANY_MEDE,84621.69253236307
pkfrog,84621.69253236307
Pikmon,84369.65486878756
aspect2,84101.68192006444
OpalHello,83952.08730935947
kanata_ako,83850.60447900077
JackBolt999,83520.95321659581
Sarah_FoxG,83488.27954964759
GCRagnarok,83324.47648240668
atarime,83131.48788927335
clappedlogann,83126.1987014149
XBowCooper,83126.1987014149
N0V0X,83117.70985571202
ChocciAdam,82799.25231725465
Haven_Vmi,82541.94557675919
K7Fred,82474.23103199386
Elkaras512,82360.68548665718
Jiro_x,82348.23253235863
atn34,82251.54681530457
Sev_SR,82231.71933467082
BasicallyDad,82046.80378609002
alextheordinary,81852.21825649597
speedrunner_asriel,81818.07547371107
Bu_Fangshe,81809.83428617417
maclaque,81658.72328003164
Karume,81600.5540147241
tes01,81590.2261677162
winglesshawk,81401.63097002165
Grondious,81193.09740128966
thekrynn,81035.30790726912
taxslayer,80925.39719483897
velociroger,80912.36057044622
Mrr_Cat,80865.78487313661
Onmiwe,80406.05149921453
Polydactyly,80329.55597185975
Gidge,80151.67533153767
Eridan11,80107.97239818463
évoli,80096.43525516616
zP3P3,80038.14508857329
SteineSindToll,79941.5847640569
Lexerphthisi,79876.5262347077
ItsZenyth,79800.54204413848
Killerparakeet,79787.18289808398
Set3,79508.24626496159
Bento_Player,79490.84333396533
thedoubleace,79403.1296269415
rainie923,79093.32168771836
mcflono,78816.19189935115
AshySR,78734.37809958342
militantmold,78718.78695554467
Psyched,78562.7917317992
alabastro1,78502.91936732415
Screwmyshoe,78267.46182550765
Clark_O_Tron,78264.66882330723
PanRam,78207.76708242507
HuntHussle,78043.25340834199
Swordow,77925.45837997989
Kein_RRR,77923.00026602481
chunqing,77882.81830509403
xTeixeira,77812.47934430563
eirikdyb,77772.61637345699
Jinxts,77744.66822614858
itsjinxed,77602.03324904188
xianbai,77599.43406885932
intervisible,77446.54694555896
Pale_Manny,77376.37843891143
Holy_Wakamouly,77253.18211389094
Deimos357,77009.57934194084
Garnix,76863.58965089219
T_K_3,76645.38226727502
ColbyWan23,76495.1241947528
Swoshy,76428.10276701933
Anazur_,76357.10103148507
AcridStingray3,76355.88155416824
Lota_Cocoa,76181.24703168821
Manno_Stone,76084.51900522647
SylvieNukie,76071.89665966085
Rekcah,75974.77373955889
Leydybug,75924.6962613294
RyuKa,75797.72921347567
StickminFabio,75781.77921769324
coupawn,75698.97310414806
